@RELATION Iris_splits

@ATTRIBUTE type {TRAIN,TEST}
@ATTRIBUTE rowid STRING
@ATTRIBUTE fold INTEGER
@ATTRIBUTE repeat INTEGER

@DATA
TRAIN,101,10,1
TRAIN,122,10,1
TRAIN,115,10,1
TRAIN,133,10,1
TRAIN,17,10,1
TRAIN,10,10,1
TRAIN,4,10,1
TRAIN,42,10,1
TRAIN,34,10,1
TRAIN,75,10,1
TRAIN,82,10,1
TRAIN,66,10,1
TRAIN,61,10,1
TRAIN,90,10,1
TRAIN,116,10,1
TRAIN,106,10,1
TRAIN,112,10,1
TRAIN,128,10,1
TRAIN,114,10,1
TRAIN,47,10,1
TRAIN,24,10,1
TRAIN,43,10,1
TRAIN,32,10,1
TRAIN,13,10,1
TRAIN,60,10,1
TRAIN,67,10,1
TRAIN,78,10,1
TRAIN,62,10,1
TRAIN,52,10,1
TRAIN,102,10,1
TRAIN,121,10,1
TRAIN,146,10,1
TRAIN,119,10,1
TRAIN,113,10,1
TRAIN,2,10,1
TRAIN,46,10,1
TRAIN,28,10,1
TRAIN,44,10,1
TRAIN,23,10,1
TRAIN,97,10,1
TRAIN,92,10,1
TRAIN,93,10,1
TRAIN,70,10,1
TRAIN,65,10,1
TRAIN,149,10,1
TRAIN,138,10,1
TRAIN,134,10,1
TRAIN,136,10,1
TRAIN,111,10,1
TRAIN,39,10,1
TRAIN,19,10,1
TRAIN,15,10,1
TRAIN,38,10,1
TRAIN,6,10,1
TRAIN,80,10,1
TRAIN,68,10,1
TRAIN,99,10,1
TRAIN,98,10,1
TRAIN,72,10,1
TRAIN,110,0,0
TRAIN,146,0,0
TRAIN,102,0,0
TRAIN,119,0,0
TRAIN,114,0,0
TRAIN,8,0,0
TRAIN,38,0,0
TRAIN,46,0,0
TRAIN,49,0,0
TRAIN,34,0,0
TRAIN,92,0,0
TRAIN,62,0,0
TRAIN,98,0,0
TRAIN,71,0,0
TRAIN,69,0,0
TRAIN,147,0,0
TRAIN,100,0,0
TRAIN,117,0,0
TRAIN,133,0,0
TRAIN,148,0,0
TRAIN,32,0,0
TRAIN,17,0,0
TRAIN,39,0,0
TRAIN,14,0,0
TRAIN,26,0,0
TRAIN,50,0,0
TRAIN,52,0,0
TRAIN,73,0,0
TRAIN,77,0,0
TRAIN,83,0,0
TRAIN,124,0,0
TRAIN,107,0,0
TRAIN,121,0,0
TRAIN,138,0,0
TRAIN,139,0,0
TRAIN,23,0,0
TRAIN,21,0,0
TRAIN,9,0,0
TRAIN,1,0,0
TRAIN,35,0,0
TRAIN,91,0,0
TRAIN,54,0,0
TRAIN,72,0,0
TRAIN,67,0,0
TRAIN,84,0,0
TRAIN,128,0,0
TRAIN,116,0,0
TRAIN,108,0,0
TRAIN,136,0,0
TRAIN,101,0,0
TRAIN,36,0,0
TRAIN,27,0,0
TRAIN,47,0,0
TRAIN,31,0,0
TRAIN,22,0,0
TRAIN,64,0,0
TRAIN,81,0,0
TRAIN,82,0,0
TRAIN,57,0,0
TRAIN,78,0,0
TRAIN,142,0,0
TRAIN,123,0,0
TRAIN,140,0,0
TRAIN,149,0,0
TRAIN,118,0,0
TRAIN,18,0,0
TRAIN,4,0,0
TRAIN,28,0,0
TRAIN,19,0,0
TRAIN,5,0,0
TRAIN,68,0,0
TRAIN,60,0,0
TRAIN,89,0,0
TRAIN,86,0,0
TRAIN,56,0,0
TRAIN,141,0,0
TRAIN,130,0,0
TRAIN,126,0,0
TRAIN,125,0,0
TRAIN,132,0,0
TRAIN,0,0,0
TRAIN,6,0,0
TRAIN,43,0,0
TRAIN,2,0,0
TRAIN,41,0,0
TRAIN,74,0,0
TRAIN,95,0,0
TRAIN,70,0,0
TRAIN,66,0,0
TRAIN,79,0,0
TRAIN,135,0,0
TRAIN,143,0,0
TRAIN,120,0,0
TRAIN,144,0,0
TRAIN,122,0,0
TRAIN,37,0,0
TRAIN,3,0,0
TRAIN,40,0,0
TRAIN,30,0,0
TRAIN,25,0,0
TRAIN,65,0,0
TRAIN,97,0,0
TRAIN,85,0,0
TRAIN,93,0,0
TRAIN,94,0,0
TRAIN,106,0,0
TRAIN,104,0,0
TRAIN,127,0,0
TRAIN,131,0,0
TRAIN,105,0,0
TRAIN,13,0,0
TRAIN,24,0,0
TRAIN,7,0,0
TRAIN,20,0,0
TRAIN,15,0,0
TRAIN,63,0,0
TRAIN,75,0,0
TRAIN,88,0,0
TRAIN,99,0,0
TRAIN,59,0,0
TRAIN,129,0,0
TRAIN,145,0,0
TRAIN,112,0,0
TRAIN,137,0,0
TRAIN,134,0,0
TRAIN,33,0,0
TRAIN,45,0,0
TRAIN,11,0,0
TRAIN,42,0,0
TRAIN,29,0,0
TRAIN,76,0,0
TRAIN,80,0,0
TRAIN,51,0,0
TRAIN,96,0,0
TRAIN,53,0,0
TRAIN,145,1,1
TRAIN,118,1,1
TRAIN,144,1,1
TRAIN,117,1,1
TRAIN,147,1,1
TRAIN,1,1,1
TRAIN,48,1,1
TRAIN,3,1,1
TRAIN,41,1,1
TRAIN,49,1,1
TRAIN,58,1,1
TRAIN,88,1,1
TRAIN,57,1,1
TRAIN,84,1,1
TRAIN,94,1,1
TRAIN,105,1,1
TRAIN,107,1,1
TRAIN,139,1,1
TRAIN,103,1,1
TRAIN,131,1,1
TRAIN,25,1,1
TRAIN,9,1,1
TRAIN,5,1,1
TRAIN,7,1,1
TRAIN,26,1,1
TRAIN,51,1,1
TRAIN,96,1,1
TRAIN,95,1,1
TRAIN,54,1,1
TRAIN,64,1,1
TRAIN,132,1,1
TRAIN,127,1,1
TRAIN,108,1,1
TRAIN,130,1,1
TRAIN,141,1,1
TRAIN,37,1,1
TRAIN,8,1,1
TRAIN,22,1,1
TRAIN,21,1,1
TRAIN,11,1,1
TRAIN,53,1,1
TRAIN,63,1,1
TRAIN,79,1,1
TRAIN,91,1,1
TRAIN,50,1,1
TRAIN,143,1,1
TRAIN,120,1,1
TRAIN,129,1,1
TRAIN,100,1,1
TRAIN,124,1,1
TRAIN,31,1,1
TRAIN,12,1,1
TRAIN,45,1,1
TRAIN,27,1,1
TRAIN,36,1,1
TRAIN,87,1,1
TRAIN,59,1,1
TRAIN,77,1,1
TRAIN,81,1,1
TRAIN,74,1,1
TRAIN,126,1,1
TRAIN,101,1,1
TRAIN,122,1,1
TRAIN,115,1,1
TRAIN,133,1,1
TRAIN,17,1,1
TRAIN,10,1,1
TRAIN,4,1,1
TRAIN,42,1,1
TRAIN,34,1,1
TRAIN,75,1,1
TRAIN,82,1,1
TRAIN,66,1,1
TRAIN,61,1,1
TRAIN,90,1,1
TRAIN,116,1,1
TRAIN,106,1,1
TRAIN,112,1,1
TRAIN,128,1,1
TRAIN,114,1,1
TRAIN,47,1,1
TRAIN,24,1,1
TRAIN,43,1,1
TRAIN,32,1,1
TRAIN,13,1,1
TRAIN,60,1,1
TRAIN,67,1,1
TRAIN,78,1,1
TRAIN,62,1,1
TRAIN,52,1,1
TRAIN,102,1,1
TRAIN,121,1,1
TRAIN,146,1,1
TRAIN,119,1,1
TRAIN,113,1,1
TRAIN,2,1,1
TRAIN,46,1,1
TRAIN,28,1,1
TRAIN,44,1,1
TRAIN,23,1,1
TRAIN,97,1,1
TRAIN,92,1,1
TRAIN,93,1,1
TRAIN,70,1,1
TRAIN,65,1,1
TRAIN,149,1,1
TRAIN,138,1,1
TRAIN,134,1,1
TRAIN,136,1,1
TRAIN,111,1,1
TRAIN,39,1,1
TRAIN,19,1,1
TRAIN,15,1,1
TRAIN,38,1,1
TRAIN,6,1,1
TRAIN,80,1,1
TRAIN,68,1,1
TRAIN,99,1,1
TRAIN,98,1,1
TRAIN,72,1,1
TRAIN,125,1,1
TRAIN,142,1,1
TRAIN,109,1,1
TRAIN,148,1,1
TRAIN,135,1,1
TRAIN,33,1,1
TRAIN,20,1,1
TRAIN,35,1,1
TRAIN,14,1,1
TRAIN,0,1,1
TRAIN,55,1,1
TRAIN,85,1,1
TRAIN,56,1,1
TRAIN,89,1,1
TRAIN,76,1,1
TRAIN,147,1,0
TRAIN,100,1,0
TRAIN,117,1,0
TRAIN,133,1,0
TRAIN,148,1,0
TRAIN,32,1,0
TRAIN,17,1,0
TRAIN,39,1,0
TRAIN,14,1,0
TRAIN,26,1,0
TRAIN,50,1,0
TRAIN,52,1,0
TRAIN,73,1,0
TRAIN,77,1,0
TRAIN,83,1,0
TRAIN,124,1,0
TRAIN,107,1,0
TRAIN,121,1,0
TRAIN,138,1,0
TRAIN,139,1,0
TRAIN,23,1,0
TRAIN,21,1,0
TRAIN,9,1,0
TRAIN,1,1,0
TRAIN,35,1,0
TRAIN,91,1,0
TRAIN,54,1,0
TRAIN,72,1,0
TRAIN,67,1,0
TRAIN,84,1,0
TRAIN,128,1,0
TRAIN,116,1,0
TRAIN,108,1,0
TRAIN,136,1,0
TRAIN,101,1,0
TRAIN,36,1,0
TRAIN,27,1,0
TRAIN,47,1,0
TRAIN,31,1,0
TRAIN,22,1,0
TRAIN,64,1,0
TRAIN,81,1,0
TRAIN,82,1,0
TRAIN,57,1,0
TRAIN,78,1,0
TRAIN,142,1,0
TRAIN,123,1,0
TRAIN,140,1,0
TRAIN,149,1,0
TRAIN,118,1,0
TRAIN,18,1,0
TRAIN,4,1,0
TRAIN,28,1,0
TRAIN,19,1,0
TRAIN,5,1,0
TRAIN,68,1,0
TRAIN,60,1,0
TRAIN,89,1,0
TRAIN,86,1,0
TRAIN,56,1,0
TRAIN,141,1,0
TRAIN,130,1,0
TRAIN,126,1,0
TRAIN,125,1,0
TRAIN,132,1,0
TRAIN,0,1,0
TRAIN,6,1,0
TRAIN,43,1,0
TRAIN,2,1,0
TRAIN,41,1,0
TRAIN,74,1,0
TRAIN,95,1,0
TRAIN,70,1,0
TRAIN,66,1,0
TRAIN,79,1,0
TRAIN,135,1,0
TRAIN,143,1,0
TRAIN,120,1,0
TRAIN,144,1,0
TRAIN,122,1,0
TRAIN,37,1,0
TRAIN,3,1,0
TRAIN,40,1,0
TRAIN,30,1,0
TRAIN,25,1,0
TRAIN,65,1,0
TRAIN,97,1,0
TRAIN,85,1,0
TRAIN,93,1,0
TRAIN,94,1,0
TRAIN,106,1,0
TRAIN,104,1,0
TRAIN,127,1,0
TRAIN,131,1,0
TRAIN,105,1,0
TRAIN,13,1,0
TRAIN,24,1,0
TRAIN,7,1,0
TRAIN,20,1,0
TRAIN,15,1,0
TRAIN,63,1,0
TRAIN,75,1,0
TRAIN,88,1,0
TRAIN,99,1,0
TRAIN,59,1,0
TRAIN,129,1,0
TRAIN,145,1,0
TRAIN,112,1,0
TRAIN,137,1,0
TRAIN,134,1,0
TRAIN,33,1,0
TRAIN,45,1,0
TRAIN,11,1,0
TRAIN,42,1,0
TRAIN,29,1,0
TRAIN,76,1,0
TRAIN,80,1,0
TRAIN,51,1,0
TRAIN,96,1,0
TRAIN,53,1,0
TRAIN,113,1,0
TRAIN,103,1,0
TRAIN,115,1,0
TRAIN,111,1,0
TRAIN,109,1,0
TRAIN,12,1,0
TRAIN,10,1,0
TRAIN,16,1,0
TRAIN,48,1,0
TRAIN,44,1,0
TRAIN,87,1,0
TRAIN,55,1,0
TRAIN,90,1,0
TRAIN,61,1,0
TRAIN,58,1,0
TRAIN,140,2,1
TRAIN,123,2,1
TRAIN,10,0,1
TRAIN,137,2,1
TRAIN,104,2,1
TRAIN,18,2,1
TRAIN,29,2,1
TRAIN,40,2,1
TRAIN,16,2,1
TRAIN,30,2,1
TRAIN,71,2,1
TRAIN,86,2,1
TRAIN,69,2,1
TRAIN,73,2,1
TRAIN,83,2,1
TRAIN,105,2,1
TRAIN,107,2,1
TRAIN,139,2,1
TRAIN,103,2,1
TRAIN,131,2,1
TRAIN,25,2,1
TRAIN,9,0,1
TRAIN,5,0,1
TRAIN,7,0,1
TRAIN,26,2,1
TRAIN,51,2,1
TRAIN,96,2,1
TRAIN,95,2,1
TRAIN,54,2,1
TRAIN,64,2,1
TRAIN,132,2,1
TRAIN,127,2,1
TRAIN,108,2,1
TRAIN,130,2,1
TRAIN,141,2,1
TRAIN,37,2,1
TRAIN,8,0,1
TRAIN,22,2,1
TRAIN,21,2,1
TRAIN,11,2,1
TRAIN,53,2,1
TRAIN,63,2,1
TRAIN,79,2,1
TRAIN,91,2,1
TRAIN,50,2,1
TRAIN,143,2,1
TRAIN,120,2,1
TRAIN,129,2,1
TRAIN,100,2,1
TRAIN,124,2,1
TRAIN,31,2,1
TRAIN,12,2,1
TRAIN,45,2,1
TRAIN,27,2,1
TRAIN,36,2,1
TRAIN,87,2,1
TRAIN,59,2,1
TRAIN,77,2,1
TRAIN,81,2,1
TRAIN,74,2,1
TRAIN,126,2,1
TRAIN,101,2,1
TRAIN,122,2,1
TRAIN,115,2,1
TRAIN,133,2,1
TRAIN,17,2,1
TRAIN,0,0,1
TRAIN,4,0,1
TRAIN,42,2,1
TRAIN,34,2,1
TRAIN,75,2,1
TRAIN,82,2,1
TRAIN,66,2,1
TRAIN,61,2,1
TRAIN,90,2,1
TRAIN,116,2,1
TRAIN,106,2,1
TRAIN,112,2,1
TRAIN,128,2,1
TRAIN,114,2,1
TRAIN,47,2,1
TRAIN,24,2,1
TRAIN,43,2,1
TRAIN,32,2,1
TRAIN,13,2,1
TRAIN,60,2,1
TRAIN,67,2,1
TRAIN,78,2,1
TRAIN,62,2,1
TRAIN,52,2,1
TRAIN,102,2,1
TRAIN,121,2,1
TRAIN,146,2,1
TRAIN,119,2,1
TRAIN,113,2,1
TRAIN,2,0,1
TRAIN,46,2,1
TRAIN,28,2,1
TRAIN,44,2,1
TRAIN,23,2,1
TRAIN,97,2,1
TRAIN,92,2,1
TRAIN,93,2,1
TRAIN,70,2,1
TRAIN,65,2,1
TRAIN,149,2,1
TRAIN,138,2,1
TRAIN,134,2,1
TRAIN,136,2,1
TRAIN,111,2,1
TRAIN,39,2,1
TRAIN,19,2,1
TRAIN,15,2,1
TRAIN,38,2,1
TRAIN,6,0,1
TRAIN,80,2,1
TRAIN,68,2,1
TRAIN,99,2,1
TRAIN,98,2,1
TRAIN,72,2,1
TRAIN,125,2,1
TRAIN,142,2,1
TRAIN,109,2,1
TRAIN,148,2,1
TRAIN,135,2,1
TRAIN,33,2,1
TRAIN,20,2,1
TRAIN,35,2,1
TRAIN,14,2,1
TRAIN,0,2,1
TRAIN,55,2,1
TRAIN,85,2,1
TRAIN,56,2,1
TRAIN,89,2,1
TRAIN,76,2,1
TRAIN,110,2,0
TRAIN,146,2,0
TRAIN,102,2,0
TRAIN,119,2,0
TRAIN,114,2,0
TRAIN,8,0,0
TRAIN,38,2,0
TRAIN,46,2,0
TRAIN,49,2,0
TRAIN,34,2,0
TRAIN,92,2,0
TRAIN,62,2,0
TRAIN,98,2,0
TRAIN,71,2,0
TRAIN,69,2,0
TRAIN,124,2,0
TRAIN,107,2,0
TRAIN,121,2,0
TRAIN,138,2,0
TRAIN,139,2,0
TRAIN,23,2,0
TRAIN,21,2,0
TRAIN,9,0,0
TRAIN,1,0,2
TRAIN,35,2,0
TRAIN,91,2,0
TRAIN,54,2,0
TRAIN,72,2,0
TRAIN,67,2,0
TRAIN,84,2,0
TRAIN,128,2,0
TRAIN,116,2,0
TRAIN,108,2,0
TRAIN,136,2,0
TRAIN,101,2,0
TRAIN,36,2,0
TRAIN,27,2,0
TRAIN,47,2,0
TRAIN,31,2,0
TRAIN,22,2,0
TRAIN,64,2,0
TRAIN,81,2,0
TRAIN,82,2,0
TRAIN,57,2,0
TRAIN,78,2,0
TRAIN,142,2,0
TRAIN,123,2,0
TRAIN,140,2,0
TRAIN,149,2,0
TRAIN,118,2,0
TRAIN,18,2,0
TRAIN,4,0,0
TRAIN,28,2,0
TRAIN,19,2,0
TRAIN,5,0,0
TRAIN,68,2,0
TRAIN,60,2,0
TRAIN,89,2,0
TRAIN,86,2,0
TRAIN,56,2,0
TRAIN,141,2,0
TRAIN,130,2,0
TRAIN,126,2,0
TRAIN,125,2,0
TRAIN,132,2,0
TRAIN,0,2,0
TRAIN,6,0,0
TRAIN,43,2,0
TRAIN,2,0,2
TRAIN,41,2,0
TRAIN,74,2,0
TRAIN,95,2,0
TRAIN,70,2,0
TRAIN,66,2,0
TRAIN,79,2,0
TRAIN,135,2,0
TRAIN,143,2,0
TRAIN,120,2,0
TRAIN,144,2,0
TRAIN,122,2,0
TRAIN,37,2,0
TRAIN,3,0,0
TRAIN,40,2,0
TRAIN,30,2,0
TRAIN,25,2,0
TRAIN,65,2,0
TRAIN,97,2,0
TRAIN,85,2,0
TRAIN,93,2,0
TRAIN,94,2,0
TRAIN,106,2,0
TRAIN,104,2,0
TRAIN,127,2,0
TRAIN,131,2,0
TRAIN,105,2,0
TRAIN,13,2,0
TRAIN,24,2,0
TRAIN,7,0,0
TRAIN,20,2,0
TRAIN,15,2,0
TRAIN,63,2,0
TRAIN,75,2,0
TRAIN,88,2,0
TRAIN,99,2,0
TRAIN,59,2,0
TRAIN,129,2,0
TRAIN,145,2,0
TRAIN,112,2,0
TRAIN,137,2,0
TRAIN,134,2,0
TRAIN,33,2,0
TRAIN,45,2,0
TRAIN,11,2,0
TRAIN,42,2,0
TRAIN,29,2,0
TRAIN,76,2,0
TRAIN,80,2,0
TRAIN,51,2,0
TRAIN,96,2,0
TRAIN,53,2,0
TRAIN,113,2,0
TRAIN,103,2,0
TRAIN,115,2,0
TRAIN,111,2,0
TRAIN,109,2,0
TRAIN,12,2,0
TRAIN,10,2,0
TRAIN,16,2,0
TRAIN,48,2,0
TRAIN,44,2,0
TRAIN,87,2,0
TRAIN,55,2,0
TRAIN,90,2,0
TRAIN,61,2,0
TRAIN,58,2,0
TRAIN,140,3,1
TRAIN,123,3,1
TRAIN,110,3,1
TRAIN,137,3,1
TRAIN,104,3,1
TRAIN,18,3,1
TRAIN,29,3,1
TRAIN,40,3,1
TRAIN,16,3,1
TRAIN,30,3,1
TRAIN,71,3,1
TRAIN,86,3,1
TRAIN,69,3,1
TRAIN,73,3,1
TRAIN,83,3,1
TRAIN,145,3,1
TRAIN,118,3,1
TRAIN,144,3,1
TRAIN,117,3,1
TRAIN,147,3,1
TRAIN,1,3,1
TRAIN,48,3,1
TRAIN,3,3,1
TRAIN,41,3,1
TRAIN,49,3,1
TRAIN,58,3,1
TRAIN,88,3,1
TRAIN,57,3,1
TRAIN,84,3,1
TRAIN,94,3,1
TRAIN,132,3,1
TRAIN,127,3,1
TRAIN,108,3,1
TRAIN,130,3,1
TRAIN,141,3,1
TRAIN,37,3,1
TRAIN,8,3,1
TRAIN,22,3,1
TRAIN,21,3,1
TRAIN,11,3,1
TRAIN,53,3,1
TRAIN,63,3,1
TRAIN,79,3,1
TRAIN,91,3,1
TRAIN,50,3,1
TRAIN,143,3,1
TRAIN,120,3,1
TRAIN,129,3,1
TRAIN,100,3,1
TRAIN,124,3,1
TRAIN,31,3,1
TRAIN,12,3,1
TRAIN,45,3,1
TRAIN,27,3,1
TRAIN,36,3,1
TRAIN,87,3,1
TRAIN,59,3,1
TRAIN,77,3,1
TRAIN,81,3,1
TRAIN,74,3,1
TRAIN,126,3,1
TRAIN,101,3,1
TRAIN,122,3,1
TRAIN,115,3,1
TRAIN,133,3,1
TRAIN,17,3,1
TRAIN,10,3,1
TRAIN,4,3,1
TRAIN,42,3,1
TRAIN,34,3,1
TRAIN,75,3,1
TRAIN,82,3,1
TRAIN,66,3,1
TRAIN,61,3,1
TRAIN,90,3,1
TRAIN,116,3,1
TRAIN,106,3,1
TRAIN,112,3,1
TRAIN,128,3,1
TRAIN,114,3,1
TRAIN,47,3,1
TRAIN,24,3,1
TRAIN,43,3,1
TRAIN,32,3,1
TRAIN,13,3,1
TRAIN,60,3,1
TRAIN,67,3,1
TRAIN,78,3,1
TRAIN,62,3,1
TRAIN,52,3,1
TRAIN,102,3,1
TRAIN,121,3,1
TRAIN,146,3,1
TRAIN,119,3,1
TRAIN,113,3,1
TRAIN,2,3,1
TRAIN,46,3,1
TRAIN,28,3,1
TRAIN,44,3,1
TRAIN,23,3,1
TRAIN,97,3,1
TRAIN,92,3,1
TRAIN,93,3,1
TRAIN,70,3,1
TRAIN,65,3,1
TRAIN,149,3,1
TRAIN,138,3,1
TRAIN,134,3,1
TRAIN,136,3,1
TRAIN,111,3,1
TRAIN,39,3,1
TRAIN,19,3,1
TRAIN,15,3,1
TRAIN,38,3,1
TRAIN,6,3,1
TRAIN,80,3,1
TRAIN,68,3,1
TRAIN,99,3,1
TRAIN,98,3,1
TRAIN,72,3,1
TRAIN,125,3,1
TRAIN,142,3,1
TRAIN,109,3,1
TRAIN,148,3,1
TRAIN,135,3,1
TRAIN,33,3,1
TRAIN,20,3,1
TRAIN,35,3,1
TRAIN,14,3,1
TRAIN,0,3,1
TRAIN,55,3,1
TRAIN,85,3,1
TRAIN,56,3,1
TRAIN,89,3,1
TRAIN,76,3,1
TRAIN,110,3,0
TRAIN,146,3,0
TRAIN,102,3,0
TRAIN,119,3,0
TRAIN,114,3,0
TRAIN,8,3,0
TRAIN,38,3,0
TRAIN,46,3,0
TRAIN,49,3,0
TRAIN,34,3,0
TRAIN,92,3,0
TRAIN,62,3,0
TRAIN,98,3,0
TRAIN,71,3,0
TRAIN,69,3,0
TRAIN,147,3,0
TRAIN,100,3,0
TRAIN,117,3,0
TRAIN,133,3,0
TRAIN,148,3,0
TRAIN,32,3,0
TRAIN,17,3,0
TRAIN,39,3,0
TRAIN,14,3,0
TRAIN,26,3,0
TRAIN,50,3,0
TRAIN,52,3,0
TRAIN,73,3,0
TRAIN,77,3,0
TRAIN,83,3,0
TRAIN,128,3,0
TRAIN,116,3,0
TRAIN,108,3,0
TRAIN,136,3,0
TRAIN,101,3,0
TRAIN,36,3,0
TRAIN,27,3,0
TRAIN,47,3,0
TRAIN,31,3,0
TRAIN,22,3,0
TRAIN,64,3,0
TRAIN,81,3,0
TRAIN,82,3,0
TRAIN,57,3,0
TRAIN,78,3,0
TRAIN,142,3,0
TRAIN,123,3,0
TRAIN,140,3,0
TRAIN,149,3,0
TRAIN,118,3,0
TRAIN,18,3,0
TRAIN,4,3,0
TRAIN,28,3,0
TRAIN,19,3,0
TRAIN,5,3,0
TRAIN,68,3,0
TRAIN,60,3,0
TRAIN,89,3,0
TRAIN,86,3,0
TRAIN,56,3,0
TRAIN,141,3,0
TRAIN,130,3,0
TRAIN,126,3,0
TRAIN,125,3,0
TRAIN,132,3,0
TRAIN,0,3,0
TRAIN,6,3,0
TRAIN,43,3,0
TRAIN,2,3,0
TRAIN,41,3,0
TRAIN,74,3,0
TRAIN,95,3,0
TRAIN,70,3,0
TRAIN,66,3,0
TRAIN,79,3,0
TRAIN,135,3,0
TRAIN,143,3,0
TRAIN,120,3,0
TRAIN,144,3,0
TRAIN,122,3,0
TRAIN,37,3,0
TRAIN,3,3,0
TRAIN,40,3,0
TRAIN,30,3,0
TRAIN,25,3,0
TRAIN,65,3,0
TRAIN,97,3,0
TRAIN,85,3,0
TRAIN,93,3,0
TRAIN,94,3,0
TRAIN,106,3,0
TRAIN,104,3,0
TRAIN,127,3,0
TRAIN,131,3,0
TRAIN,105,3,0
TRAIN,13,3,0
TRAIN,24,3,0
TRAIN,7,3,0
TRAIN,20,3,0
TRAIN,15,3,0
TRAIN,63,3,0
TRAIN,75,3,0
TRAIN,88,3,0
TRAIN,99,3,0
TRAIN,59,3,0
TRAIN,129,3,0
TRAIN,145,3,0
TRAIN,112,3,0
TRAIN,137,3,0
TRAIN,134,3,0
TRAIN,33,3,0
TRAIN,45,3,0
TRAIN,11,3,0
TRAIN,42,3,0
TRAIN,29,3,0
TRAIN,76,3,0
TRAIN,80,3,0
TRAIN,51,3,0
TRAIN,96,3,0
TRAIN,53,3,0
TRAIN,113,3,0
TRAIN,103,3,0
TRAIN,115,3,0
TRAIN,111,3,0
TRAIN,109,3,0
TRAIN,12,3,0
TRAIN,10,3,0
TRAIN,16,3,0
TRAIN,48,3,0
TRAIN,44,3,0
TRAIN,87,3,0
TRAIN,55,3,0
TRAIN,90,3,0
TRAIN,61,3,0
TRAIN,58,3,0
TRAIN,140,4,1
TRAIN,123,4,1
TRAIN,110,4,1
TRAIN,137,4,1
TRAIN,104,4,1
TRAIN,18,4,1
TRAIN,29,4,1
TRAIN,40,4,1
TRAIN,16,4,1
TRAIN,30,4,1
TRAIN,71,4,1
TRAIN,86,4,1
TRAIN,69,4,1
TRAIN,73,4,1
TRAIN,83,4,1
TRAIN,145,4,1
TRAIN,118,4,1
TRAIN,144,4,1
TRAIN,117,4,1
TRAIN,147,4,1
TRAIN,1,4,1
TRAIN,48,4,1
TRAIN,3,4,1
TRAIN,41,4,1
TRAIN,49,4,1
TRAIN,58,4,1
TRAIN,88,4,1
TRAIN,57,4,1
TRAIN,84,4,1
TRAIN,94,4,1
TRAIN,105,4,1
TRAIN,107,4,1
TRAIN,139,4,1
TRAIN,103,4,1
TRAIN,131,4,1
TRAIN,25,4,1
TRAIN,9,4,1
TRAIN,5,4,1
TRAIN,7,4,1
TRAIN,26,4,1
TRAIN,51,4,1
TRAIN,96,4,1
TRAIN,95,4,1
TRAIN,54,4,1
TRAIN,64,4,1
TRAIN,143,4,1
TRAIN,120,4,1
TRAIN,129,4,1
TRAIN,100,4,1
TRAIN,124,4,1
TRAIN,31,4,1
TRAIN,12,4,1
TRAIN,45,4,1
TRAIN,27,4,1
TRAIN,36,4,1
TRAIN,87,4,1
TRAIN,59,4,1
TRAIN,77,4,1
TRAIN,81,4,1
TRAIN,74,4,1
TRAIN,126,4,1
TRAIN,101,4,1
TRAIN,122,4,1
TRAIN,115,4,1
TRAIN,133,4,1
TRAIN,17,4,1
TRAIN,10,4,1
TRAIN,4,4,1
TRAIN,42,4,1
TRAIN,34,4,1
TRAIN,75,4,1
